country,count
United States,145
France,141
Spain,114
United Kingdom,103
Italy,84
Germany,47
Japan,34
Australia,32
Peru,29
Denmark,29
Mexico,27
Sweden,24
Brazil,21
Belgium,20
Thailand,19
South Africa,18
Singapore,18
Netherlands,16
Hong Kong,16
Austria,14
Russia,9
Monaco,8
Chile,8
Switzerland,7
China,7
Portugal,7
Argentina,7
Finland,5
Slovenia,5
India,5
Colombia,5
United Arab Emirates,5
Barbados,4
Norway,4
Canada,3
Kenya,2
Ireland,2
TÃ¼rkiye,2
Estonia,1
Mauritius,1
Hungary,1
Iceland,1
